COM_ID,ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,POBTOT,no_un_acuicolas,area_acui_km2,tot_captura_loc,tot_valor_loc,tot_captura_mun,tot_valor_mun,COM_MUN,pob_mun,tot_captura_mun_per_capita,tot_captura_loc_per_capita,tot_pob_mun,num_permisos_pesca_mun,permisos_pesca_per_capita_mun,num_permisos_acuicolas,permisos_acui_per_capita_mun,neg_acuicolas,neg_pesca,tot_ue,prop_acuicolas,prop_pesca,neg_acui_per_capita,neg_pesca_per_capita
2_1_2435,2,baja california,1,ensenada,2435,rancho gonzalez,16,0,0,0,0,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,0,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_2440,2,baja california,1,ensenada,2440,parcela treinta y dos,199,0,0,0,0,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,0,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_2443,2,baja california,1,ensenada,2443,parcela setenta y cuatro,47,0,0,0,0,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,0,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_2444,2,baja california,1,ensenada,2444,parcela sesenta y siete,11,0,0,0,0,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,0,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_2445,2,baja california,1,ensenada,2445,parcela setenta y siete,50,0,0,0,0,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,0,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_2455,2,baja california,1,ensenada,2455,rancho carmelita,8,0,0,0,0,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,0,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_2464,2,baja california,1,ensenada,2464,el papalote [rancho],9,0,0,0,0,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,0,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_2465,2,baja california,1,ensenada,2465,el rosario,6,0,0,0,0,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,0,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_2472,2,baja california,1,ensenada,2472,maria del rosario,13,0,0,0,0,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,0,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_2487,2,baja california,1,ensenada,2487,ejido ley federal de reforma agraria (el tigre),87,11,14.10277768175557,38023.34093,82891.8976125,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,437.0498957471264,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_2488,2,baja california,1,ensenada,2488,el milagro,10,11,14.10277768175557,37690.87479,70641.710118,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,3769.0874790000003,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_2502,2,baja california,1,ensenada,2502,villas de san miguel,68,8,9.630860423150517,38023.34093,82891.8976125,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,559.166778382353,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_2506,2,baja california,1,ensenada,2506,penelope [mina],8,0,0,38023.34093,82891.8976125,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,4752.91761625,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_2509,2,baja california,1,ensenada,2509,rancho pueblito,8,0,0,37689.94779,70632.808118,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,4711.24347375,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_2514,2,baja california,1,ensenada,2514,quinta maria,5,0,0,0,0,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,0,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_2522,2,baja california,1,ensenada,2522,rancho toscano,17,0,0,0,0,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,0,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_2536,2,baja california,1,ensenada,2536,las orquideas,14,0,0,0,0,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,0,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_2539,2,baja california,1,ensenada,2539,lucio blanco [granjas agricolas],410,0,0,37689.94779,70632.808118,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,91.92670192682927,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
